Storm # ,Date ,Time ,Lat ,Lon ,"Max
Winds
(kt) ","Landfall
State ","Storm
Names "
1,9/13/1941*,1800Z,28.3,90.8,35,LA ,
6,1941-10-20,1400Z,29.2,83,40,FL ,
6,9/17/1943*,0000Z,27.8,95.4,55,TX ,
7,1943-10-01,0000Z,37.7,75.7,55,VA ,
5,8/22/1944*,1800Z,25,97.8,40,TX ,
6,1944-09-10,1900Z,29.3,89.4,55,LA ,
6,1944-09-10,2300Z,30.3,88.3,50,MS/AL ,
1,6/26/1945& ,0100Z,34.7,76.6,60,NC ,
2,7/21/1945*,1200Z,27.8,95.4,35,TX ,
7,1945-09-05,0000Z,26.5,82.1,35,FL ,
9,1945-09-17,1100Z,32.1,80.9,60,GA/SC ,
2,1946-07-06,0800Z,33.9,78.2,45,NC ,
7,1946-11-01,2200Z,26.6,80.1,40,FL ,
1,8/2/1947#,0000Z,25.6,97.3,45,TX ,
3,1947-08-22,1400Z,29.1,90.3,40,LA ,
5,1947-09-08,1400Z,30.3,88.2,40,MS ,
6,1947-09-23,2200Z,28.9,82.7,55,FL ,
7,1947-10-07,0400Z,30.8,81.5,50,GA ,
2,1948-07-09,0700Z,30.3,87.3,35,FL ,
5,1949-09-04,1200Z,29.3,90.6,50,LA ,
7,1949-09-13,0800Z,34.3,77.8,35,NC ,
1950s ,,,,,,,
1,8/20/1950*,0600Z,34.4,74.3,35,NC,Able 
1,8/21/1950*,0600Z,41.2,67.3,40,MA,Able 
4,9/11/1950*,0600Z,34.9,72.2,40,NC,Dog 
13,1950-10-21,1100Z,29.7,83.4,50,FL,Love 
2,5/17/1951*,1800Z,27.5,78.9,40,FL,Able 
9,1951-10-02,1000Z,26.7,82.3,55,FL,How 
3,1952-08-28,0200Z,33.7,78.7,45,SC,Unnamed 
1,1953-06-06,1700Z,30.3,85.9,40,FL,Alice 
4,9/7/1953*,1200Z,41.2,70.2,50,MA,Carol 
8,1953-09-20,1700Z,29,82.8,35,FL,Unnamed 
11,10/4/1953*,0000Z,22.9,80.7,35,FL,Unnamed 
3,6/25/1954#,1400Z,25,97.6,60,TX,Alice 
5,1954-07-29,1000Z,29.7,92.8,50,LA,Barbara 
1,1955-08-01,1700Z,29.7,89.4,55,LA,Brenda 
3,1955-08-17,1200Z,34,77.9,60,NC,Diane 
5,1955-08-27,0400Z,30,89.2,45,LA,Unnamed 
1,1956-06-13,1700Z,29.1,90.7,50,LA,Unnamed 
11,1956-10-15,2100Z,25.2,80.6,50,FL,Unnamed 
1,1957-06-09,0030Z,30.1,84.2,45,FL,Unnamed 
3,1957-08-10,0600Z,29.7,93.9,55,TX,Bertha 
5,1957-09-08,1700Z,30.3,86.1,35,FL,Debbie 
6,1957-09-18,1200Z,29.2,90.9,55,LA,Esther 
1,6/15/1958#,1200Z,25.6,98.1,40,TX,Alma 
5,9/3/1958*,1200Z,21.9,83,50,FL,Ella 
5,9/5/1958*,1800Z,26.8,94,40,LA,Ella 
5,1958-09-06,0800Z,27.5,97.2,50,TX,Ella 
1,1959-05-30,2200Z,29.6,91.6,55,LA,Arlene 
3,1959-06-18,0800Z,28,82.8,40,FL,Unnamed 
4,1959-07-11,1200Z,41.7,70.7,50,MA,Cindy 
10,1959-10-08,1000Z,30.3,87.6,40,AL,Irene 
11,1959-10-18,1400Z,26.7,82.3,55,FL,Judith 
1960s ,,,,,,,
1,1960-06-24,0400Z,26.9,97.4,50,TX,Unnamed 
3,1960-07-29,0600Z,29.7,83.5,35,FL,Brenda 
3,1960-07-29,2100Z,33.9,78.2,60,NC,Brenda 
6,1961-09-14,1200Z,34.4N,77.6W,40,NC,Unnamed 
6,1961-09-14,2100Z,37.1N,76.0W,45,VA,Unnamed 
6,1961-09-15,0600Z,40.7N,73.2W,55,NY,Unnamed 
6,1961-09-15,0700Z,41.3N,72.7W,55,CT,Unnamed 
5,09/21/1961*,0800Z,39.6N,72.0W,40,NJ,Esther 
5,09/21/1961*,1200Z,40.4N,71.5W,60,NY,Esther 
5,09/21/1961*,1500Z,40.6N,71.1W,60,RI,Esther 
5,09/21/1961*,1500Z,40.6N,71.1W,50,CT,Esther 
5,1961-09-26,0500Z,41.3N,70.3W,50,MA,Esther 
5,1961-09-26,0600Z,41.7N,70.2W,50,MA,Esther 
5,1961-09-26,1100Z,43.8N,69.9W,35,ME,Esther 
6,1962-06-30,2100Z,35.2N,75.8W,55,NC,Unnamed 
1,08/28/1962*,1100Z,35.0N,75.1W,40,NC,Alma 
7,12/01/1962*,1800Z,33.7N,74.3W ,40,NC,Unnamed 
10,06/03/1963&,0800Z,35.2N,75.8W,40,NC,Unnamed 
4,1963-09-17,1400Z,29.6N,94.3W,55,TX,Cindy 
8,09/26/1963*,0600Z,33.1N,76.9W,55,NC,Ginny 
8,09/29/1963*,0600Z,38.1N,68.8W,35,MA,Ginny 
3,1964-08-07,2030Z,28.8N,95.6W,60,TX,Abby 
5,1964-08-29,0400Z,31.2N,81.3W,50,GA,Cleo 
9,09/23/1964*,0900Z,34.8N,72.4W,40,NC,Gladys 
1,1965-06-15,1100Z,30.4N,86.9W,50,FL,Unnamed 
5,1965-09-29,2000Z,29.1N,90.2W,35,LA,Debbie 
9,1965-10-18,1500Z,29.4N,81.1W,55,FL,Unnamed 
12,1966-07-01,2200Z,22.9N,83.1W,40,FL,Unnamed 
3,1967-06-18,0200Z,33.9N,78.3W,35,NC,Unnamed 
14,1967-09-17,0000Z,36.5N,75.9W,50,NC,Doria 
1,1968-06-04,1200Z,26.7N,82.3W,55,FL,Abby 
1,1968-06-06,2200Z,30.4N,81.4W,55,FL,Abby 
3,1968-06-23,2230Z,27.8N,97.1W,60,TX,Candy 
16,1968-09-11,1000Z,40.6N,73.3W,55,NY,Unnamed 
16,09/09/1969*,1800Z,40.9N,69.4W,35,MA,Gerda 
16,09/10/1969&,0100Z,44.7N,67.3W,60,ME,Gerda 
23,10/01/1969*,0600Z,27.9N,86.6W,35,LA,Unnamed 
23,1969-10-01,1600Z,30.4N,86.8W,40,FL,Unnamed 
24,1969-10-02,2100Z,26.1N,81.8W,40,FL,Jenny 
